# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 08:16:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/binary/binary-202604291616-4-7b9034.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/binary/binary-profile-202604291616-4-5085d6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.550692
# Diagonal elements of inverse mass matrix:
# 0.0161327, 0.0437305
-284.47167,0.97269542,0.55069164,2,7,0,285.90854,0.19618518,-1.1090558,0.32987029
-284.70346,0.84954637,0.55069164,3,7,0,286.1888,0.22417097,-1.1794528,0.30744693
-284.12131,0.94618719,0.55069164,2,7,0,286.80648,0.0892683,-1.0319494,0.3563117
-284.97362,0.83466797,0.55069164,1,3,0,285.28817,0.016052587,-1.1322994,0.32229133
-284.64216,0.98963354,0.55069164,2,7,0,285.32824,0.20981452,-1.0686239,0.34348087
-286.13363,0.87250028,0.55069164,3,7,0,287.32824,-0.15218411,-0.86818943,0.41971078
-284.15946,1,0.55069164,3,7,0,286.49178,0.098497323,-0.97254116,0.37812095
-284.11625,0.99966062,0.55069164,2,7,0,284.16644,0.098403218,-1.0149991,0.36240277
-285.59316,0.7288179,0.55069164,1,3,0,286.17429,0.17200092,-0.8391292,0.43208662
-285.28006,0.89457939,0.55069164,2,3,0,287.54819,0.032947514,-0.72139481,0.4860738
-285.92132,0.85471389,0.55069164,2,7,0,287.59367,0.046259231,-1.2800835,0.27801409
-285.59397,1,0.55069164,2,7,0,285.90189,0.1809653,-0.85286445,0.42619238
-285.51826,0.99667053,0.55069164,2,7,0,285.97168,0.10702592,-1.3065764,0.27074539
-285.79039,0.95949409,0.55069164,2,7,0,286.42639,0.16048472,-0.80383784,0.44760782
-285.68662,0.98054036,0.55069164,2,7,0,286.92585,-0.12594267,-0.87291768,0.41773096
-286.95238,0.93822597,0.55069164,2,3,0,287.7956,-0.20941812,-0.68148232,0.50586658
-284.5299,0.97119195,0.55069164,2,3,0,287.23472,0.02382292,-0.82534428,0.43808414
-288.50325,0.61020333,0.55069164,2,7,0,291.26471,0.37156341,-0.98139079,0.37478948
-286.77204,1,0.55069164,1,1,0,288.27703,0.33743475,-1.0636058,0.34520879
-284.91594,1,0.55069164,2,7,0,287.54678,0.20943009,-0.99578007,0.36943515
-285.82397,0.96798598,0.55069164,2,7,0,287.52833,0.31561239,-1.1605464,0.31331493
-285.9143,0.920655,0.55069164,2,3,0,286.64155,0.11749018,-1.3535222,0.25832878
-286.04704,0.99150102,0.55069164,3,7,0,286.92117,0.33555699,-1.2105888,0.29802176
-285.96901,0.97396948,0.55069164,3,7,0,288.01503,-0.012458756,-0.63087464,0.53212618
-284.27123,0.97546066,0.55069164,2,7,0,286.7362,0.10725818,-0.94117495,0.39016914
-284.32671,0.98998179,0.55069164,2,5,0,284.91537,0.16265132,-1.0353621,0.35509776
-285.39399,0.86111353,0.55069164,2,3,0,285.66267,0.19285245,-0.89399851,0.40901702
-286.52995,0.94941796,0.55069164,2,3,0,286.72377,-0.1362274,-0.99690448,0.36901998
-284.35234,1,0.55069164,2,3,0,286.40668,0.11123915,-0.924992,0.39653459
-284.28725,1,0.55069164,1,1,0,284.3588,0.10815718,-0.9377514,0.39150719
-284.28941,0.94578467,0.55069164,1,3,0,284.84942,0.025682424,-0.99817773,0.36855043
-284.68947,0.95383466,0.55069164,2,7,0,284.98026,0.19052988,-0.99661675,0.36912618
-284.59498,0.83805355,0.55069164,1,3,0,286.44432,0.046820707,-1.120566,0.32609516
-284.16527,0.98088929,0.55069164,2,7,0,284.88914,0.12765096,-1.0680637,0.34367334
-286.56637,0.6688077,0.55069164,2,7,0,288.60821,0.16318479,-0.74494723,0.47475935
-284.16626,1,0.55069164,2,3,0,286.37391,0.10583109,-1.0766251,0.34074355
-284.33073,0.91795341,0.55069164,2,3,0,284.92115,0.13706705,-1.147582,0.31740331
-284.11344,0.99064939,0.55069164,3,7,0,284.41655,0.091843561,-1.0132794,0.36302653
-284.42743,0.9694477,0.55069164,3,7,0,284.52377,0.18218957,-1.0553311,0.34807716
-288.20213,0.72228546,0.55069164,3,7,0,290.15486,0.19962447,-1.5803541,0.20590218
-287.42074,1,0.55069164,3,7,0,289.00632,0.015219922,-0.54062092,0.58238653
-287.60321,0.98284596,0.55069164,2,3,0,288.086,0.026558381,-0.53784066,0.58400796
-286.55881,1,0.55069164,2,3,0,287.85886,-0.14169017,-0.98477033,0.373525
-284.31068,0.97506953,0.55069164,2,7,0,287.17747,0.010577546,-0.93738435,0.39165092
-285.37313,0.90559082,0.55069164,2,7,0,286.53457,0.27299738,-1.0908274,0.33593842
-285.25617,1,0.55069164,2,3,0,285.49325,0.27416275,-1.1328425,0.32211634
-285.59861,0.95222193,0.55069164,2,3,0,285.94267,0.14082308,-1.3409713,0.26159147
-285.38061,1,0.55069164,2,3,0,285.67695,0.1356634,-1.3145648,0.26859119
-286.32412,0.86805059,0.55069164,1,1,0,286.34243,0.12496873,-1.395078,0.24781371
-287.18143,0.64397572,0.55069164,1,3,0,292.72744,0.37919785,-1.1477762,0.31734168
-284.40397,1,0.55069164,2,7,0,287.07695,0.11290792,-1.1562968,0.31464924
