# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:18:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-202604291618-4-55e6ab.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-profile-202604291618-4-21e7f6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.550665
# Diagonal elements of inverse mass matrix:
# 0.00497654, 0.0141734, 0.0494589, 0.0797151, 0.116376, 0.61808, 0.0121066
-852.88643,0.76034617,0.55066524,3,7,0,858.04518,-1.7075747,-1.5241063,-1.8264869,-1.5409591,-0.81651949,-4.2969883,-0.65559877,0.51913113
-850.92675,0.90138901,0.55066524,3,7,0,855.89788,-1.6871544,-1.4921668,-1.6653851,-1.8625967,-0.91521802,-0.35297535,-0.7906686,0.45354145
-852.3209,0.7514637,0.55066524,3,7,0,854.77468,-1.6391047,-1.3265503,-1.8107694,-0.89477807,-0.72372118,-4.0553444,-0.89643821,0.40802036
-849.50691,0.93966116,0.55066524,3,7,0,853.98335,-1.6792146,-1.3836178,-1.7309848,-1.2078282,-1.0826862,-2.7574104,-0.87835854,0.41546432
-848.21894,0.8878659,0.55066524,3,7,0,851.68775,-1.6144194,-1.3417735,-1.5489922,-1.5395279,-0.64809923,-1.2338876,-0.89893921,0.40700117
-849.18566,0.74008416,0.55066524,3,7,0,851.81788,-1.6511603,-1.4821243,-1.590537,-1.1961779,-0.91068992,-2.4266445,-0.75203092,0.47140819
-851.35708,0.81000396,0.55066524,3,7,0,853.69486,-1.5772559,-1.4756852,-1.5247964,-1.9605483,-0.71679317,-1.1483812,-0.8743484,0.41713373
-856.88078,0.42838688,0.55066524,2,3,0,859.33887,-1.5446905,-1.2510737,-1.5473436,-1.8410134,-0.28701411,-1.3867543,-0.71356436,0.48989492
-853.12123,0.9849564,0.55066524,3,7,0,859.66624,-1.7358095,-1.460758,-1.4286068,-1.1392923,-1.1706685,-1.9861376,-1.0076865,0.36506257
-852.8345,0.99585443,0.55066524,3,7,0,856.2993,-1.6374372,-1.2580649,-1.469434,-0.89944592,-0.8503556,-2.8510414,-0.76775912,0.46405179
-849.11765,0.96459734,0.55066524,2,7,0,855.42273,-1.6277911,-1.2469179,-1.6450284,-1.4956271,-0.43732669,-1.6354734,-0.89386582,0.40907129
-850.90838,0.90136073,0.55066524,3,7,0,853.19075,-1.5884876,-1.1907007,-1.5524687,-1.5479497,-0.50823729,-2.4697625,-0.92144499,0.3979436
-848.29562,0.9845747,0.55066524,2,7,0,852.01209,-1.6712562,-1.3982685,-1.6473013,-1.3320246,-0.79348567,-1.4726073,-0.93842596,0.39124318
-849.60046,0.71730665,0.55066524,1,3,0,854.87088,-1.6372904,-1.2684069,-1.4871899,-1.1298202,-1.0373801,-0.69272076,-0.83078684,0.43570632
-848.668,0.98800243,0.55066524,3,7,0,851.74451,-1.5600955,-1.3700682,-1.5760577,-1.2741411,-0.51198664,-1.8157709,-0.92264027,0.39746823
-848.08639,0.98208383,0.55066524,3,7,0,850.0128,-1.6897236,-1.3723556,-1.593569,-1.3894445,-0.89149606,-0.7971221,-0.81929945,0.44074031
-848.37898,0.93713469,0.55066524,2,7,0,849.60127,-1.6172908,-1.3591881,-1.8893966,-1.4135543,-0.74518023,-1.7240308,-0.85150509,0.42677212
-849.78106,0.88083418,0.55066524,2,3,0,850.83916,-1.6199115,-1.3293396,-2.0174864,-1.1949748,-0.45282011,-1.8296814,-0.90351746,0.40514208
-848.19476,0.99842453,0.55066524,3,7,0,850.40229,-1.629085,-1.3583242,-1.7436142,-1.4083397,-1.0968173,-1.2561675,-0.81828434,0.44118793
-849.37379,0.92137888,0.55066524,2,3,0,849.90088,-1.6389777,-1.3043617,-1.7186959,-1.4535518,-1.2831856,-1.3222021,-0.77809169,0.45928163
-853.04104,0.80111637,0.55066524,3,7,0,856.21475,-1.7707839,-1.3794039,-1.8021973,-1.2363053,-1.4966247,-2.9360373,-0.63715412,0.52879517
-850.04225,0.97308248,0.55066524,3,7,0,855.39509,-1.6264946,-1.4134158,-1.7474988,-1.8669065,-0.49005425,-1.5631989,-0.84954172,0.42761085
-849.84081,0.96716127,0.55066524,3,7,0,852.52387,-1.6286211,-1.40305,-1.8895546,-1.7027228,-0.61771014,-2.2485078,-0.85524471,0.42517913
-852.95232,0.88496457,0.55066524,3,7,0,854.9653,-1.7862145,-1.4052664,-2.1120848,-0.93033764,-1.2145632,-1.3911932,-0.70762711,0.4928122
-853.48351,0.99805543,0.55066524,3,7,0,854.36604,-1.8002797,-1.4179094,-2.084007,-0.9542882,-1.3874736,-1.6985585,-0.70767241,0.49278987
-852.7818,0.9608622,0.55066524,3,7,0,855.83432,-1.5945136,-1.419051,-1.4476659,-2.1283797,-0.50461876,-1.4062153,-0.92125365,0.39801975
-853.44573,0.96660435,0.55066524,3,7,0,856.7049,-1.8431185,-1.4539797,-1.9873967,-1.0622576,-1.0778411,-1.2791962,-0.60542115,0.5458445
-849.7172,0.93980414,0.55066524,3,7,0,856.82783,-1.5521232,-1.2134841,-1.3805014,-1.2753122,-0.63131193,-1.1010753,-1.0106429,0.36398488
-851.4467,0.90936407,0.55066524,3,7,0,852.61707,-1.8151932,-1.3530108,-1.9470985,-1.1567951,-0.89227511,-1.1867879,-0.69616658,0.49849258
-851.75645,0.96316823,0.55066524,3,7,0,854.81488,-1.5361364,-1.541525,-1.5954878,-1.6606651,-0.79674399,-2.0394706,-0.77874326,0.45898247
-849.38071,0.97058045,0.55066524,3,7,0,854.88874,-1.591049,-1.4194329,-1.3953244,-0.98169465,-0.7178898,-2.0103187,-0.91463282,0.40066371
-851.74189,0.89121957,0.55066524,3,7,0,852.8052,-1.6661192,-1.1706156,-1.7449848,-1.563279,-0.8255093,-2.6371009,-0.94663397,0.388045
-852.71109,0.82546174,0.55066524,3,7,0,858.99253,-1.6374656,-1.5791738,-1.621222,-1.1338631,-1.3905058,-1.8542855,-0.63727246,0.5287326
-853.44046,0.7449255,0.55066524,3,7,0,859.94204,-1.6692175,-1.5845499,-1.950712,-1.0169039,-1.6643763,-1.800054,-0.79388083,0.45208692
-852.17131,0.91622889,0.55066524,2,7,0,859.90783,-1.5312698,-1.3004039,-1.2772643,-1.3603854,-0.073534416,-1.0281628,-1.0286395,0.35749299
-849.21985,1,0.55066524,3,7,0,854.23459,-1.686559,-1.2967535,-1.7849165,-1.2187246,-1.1117433,-2.0489425,-0.7774741,0.45956536
-849.20321,0.95962049,0.55066524,3,7,0,851.4928,-1.7500992,-1.3367327,-1.6758308,-1.3042193,-0.87866378,-0.65130647,-0.84910573,0.42779733
