# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 08:18:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/binary/binary-202604291618-2-8b0074.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/binary/binary-profile-202604291618-2-39150d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.614495
# Diagonal elements of inverse mass matrix:
# 0.0161608, 0.0429089
-284.34991,0.92435181,0.61449541,2,3,0,288.65204,0.17507767,-1.077558,0.34042583
-284.90866,0.79073453,0.61449541,1,3,0,285.91835,0.032009441,-1.1483365,0.31716394
-285.08106,0.95996586,0.61449541,1,1,0,285.23469,0.016772463,-1.1482517,0.31719082
-284.22095,0.99847041,0.61449541,2,3,0,284.95982,0.14473177,-1.0412491,0.35301346
-284.63174,0.92602909,0.61449541,2,3,0,284.90159,0.20564439,-1.0564529,0.34768689
-284.51716,0.87545983,0.61449541,2,3,0,285.26561,0.11128298,-1.1783158,0.3077967
-285.16576,0.93703857,0.61449541,2,7,0,285.72043,0.08571231,-0.77541064,0.46051464
-285.55526,0.99326094,0.61449541,2,3,0,285.73041,-0.10600904,-0.9292882,0.39483465
-284.74406,0.95793452,0.61449541,2,3,0,285.76931,-0.023669972,-0.7902603,0.45372667
-284.36457,0.95546246,0.61449541,1,3,0,285.58037,0.078365965,-0.88689982,0.41193083
-284.4871,0.98557572,0.61449541,2,7,0,284.7438,0.085868728,-1.1500172,0.31663132
-284.70871,0.99030334,0.61449541,2,7,0,284.78034,0.21436209,-1.0611526,0.34605671
-286.91007,0.68849149,0.61449541,3,7,0,288.56088,0.23995663,-1.502513,0.22257013
-289.07416,0.70171774,0.61449541,2,3,0,289.91217,0.41732555,-1.0516608,0.34935707
-285.59356,1,0.61449541,2,3,0,288.52192,0.19033629,-1.364672,0.25546446
-286.08018,0.96156235,0.61449541,2,3,0,286.20651,0.15467501,-1.3956832,0.24766377
-285.32945,1,0.61449541,3,7,0,286.20356,0.086976186,-0.75949392,0.46790316
-285.96702,0.92814319,0.61449541,2,3,0,286.59815,-0.13274313,-0.91621539,0.40003014
-284.66468,0.89999224,0.61449541,2,3,0,287.21596,0.0034649741,-1.0567596,0.3475803
-284.1988,0.99903008,0.61449541,1,3,0,284.63321,0.037664371,-0.96455809,0.3811516
-285.35207,0.84596639,0.61449541,2,3,0,285.60179,0.15780936,-0.84285057,0.43048166
-284.46365,1,0.61449541,2,7,0,285.30227,0.09853047,-1.1576333,0.31422898
-284.22207,0.58868595,0.61449541,2,3,0,288.90324,0.12392651,-0.9844316,0.37365155
-284.2844,0.98228562,0.61449541,3,7,0,284.7049,0.13747952,-1.1321172,0.32235006
-284.11334,0.99971822,0.61449541,2,7,0,284.33867,0.088724916,-1.0093331,0.36446194
-284.37351,0.95212957,0.61449541,2,7,0,284.83448,0.17513468,-1.056879,0.3475388
-284.88413,0.94926514,0.61449541,1,3,0,285.74488,0.23404796,-1.2342142,0.29106339
-285.9327,0.92745307,0.61449541,2,3,0,286.05557,0.32985062,-1.2764315,0.27903125
-287.89292,0.9277189,0.61449541,2,3,0,288.01821,0.33972836,-1.5787984,0.20622274
-288.776,0.95413495,0.61449541,2,3,0,289.57817,0.47615393,-1.4213792,0.24138088
-289.65866,0.96812616,0.61449541,1,1,0,289.85961,0.50941919,-1.4898649,0.2254031
-284.87661,0.99511365,0.61449541,2,7,0,289.62281,-0.015956868,-1.055845,0.34789832
-284.43305,1,0.61449541,1,1,0,284.78999,0.0057735468,-1.0006106,0.36765488
-284.58802,0.99232468,0.61449541,3,7,0,284.89573,0.053910283,-0.82595054,0.43781863
-285.37183,0.8883029,0.61449541,3,7,0,285.88818,0.18093088,-0.87637912,0.41628751
-288.22636,0.73941332,0.61449541,2,7,0,288.50209,0.043848412,-1.4466643,0.23535404
-285.63894,1,0.61449541,2,3,0,288.39045,0.1954731,-1.3711215,0.25382215
-284.60287,0.98214515,0.61449541,2,3,0,285.78368,0.17234563,-1.2156433,0.29651922
-284.14109,0.99499711,0.61449541,2,7,0,284.94152,0.060347622,-0.9890057,0.37194633
-284.1792,0.91357462,0.61449541,2,3,0,284.76133,0.055361609,-0.9385064,0.39121171
-285.62755,0.85567712,0.61449541,2,7,0,285.95577,-0.021472345,-0.66085266,0.51641083
-287.05582,0.90572492,0.61449541,1,3,0,288.52771,-0.18696777,-0.57051606,0.56523367
-284.90969,0.97535282,0.61449541,2,3,0,287.32692,0.012996308,-0.75759729,0.46879144
-285.20048,0.9844821,0.61449541,2,7,0,285.96838,0.19686303,-1.3173859,0.26783452
-284.6909,0.87158352,0.61449541,3,7,0,286.39214,0.21909112,-1.0887923,0.33662278
-285.18577,0.86707339,0.61449541,1,3,0,286.08704,0.17176072,-1.3103617,0.26972249
-284.99306,1,0.61449541,1,1,0,285.19762,0.17583361,-1.2850504,0.27663665
-284.16523,0.99765345,0.61449541,2,7,0,285.47407,0.065466735,-0.94556256,0.38846098
-285.72873,0.85121714,0.61449541,3,7,0,286.45655,-0.12604776,-0.70880937,0.49222991
-284.3713,0.99913573,0.61449541,2,7,0,285.783,-0.00042899901,-0.91098076,0.40212964
-284.43168,0.9004226,0.61449541,2,7,0,285.8544,0.14472372,-0.95869591,0.38339254
-284.69507,0.9951069,0.61449541,2,7,0,284.99701,0.17645457,-1.2345798,0.29095699
-285.29183,0.98497267,0.61449541,2,3,0,285.38829,0.26347421,-1.2960503,0.27361035
-284.78705,0.99909827,0.61449541,2,3,0,285.34373,0.20533339,-1.2436088,0.28834177
-284.95426,0.81327161,0.61449541,2,5,0,286.80555,-0.051803228,-0.76610128,0.46482175
-284.53871,0.93947637,0.61449541,2,5,0,285.78508,0.18563818,-1.1925193,0.30345581
-285.25314,0.91950019,0.61449541,2,3,0,285.39752,0.2698249,-1.1114778,0.32907229
-285.06812,1,0.61449541,2,3,0,285.59408,0.13249818,-1.27593,0.27917122
-284.26753,0.93722912,0.61449541,2,7,0,286.04057,0.14834558,-1.0210734,0.3602081
-285.55683,0.92423963,0.61449541,2,7,0,286.63461,-0.11053396,-0.71540106,0.48899596
-285.58687,0.73384975,0.61449541,2,3,0,288.46617,-0.099459542,-0.68927309,0.5019408
-285.967,0.67038121,0.61449541,2,5,0,289.05353,0.22608745,-0.89277087,0.40951945
-284.59034,0.92714657,0.61449541,2,3,0,286.90542,0.21254073,-1.1451101,0.31818889
-285.15784,0.92768808,0.61449541,2,3,0,285.65792,0.2162985,-1.3091025,0.27006234
-284.26325,0.99393829,0.61449541,2,7,0,285.51977,0.12323287,-0.96769907,0.37995628
-284.59697,0.9826866,0.61449541,2,7,0,284.71699,0.1334048,-1.2066658,0.29919319
-285.45403,0.9185844,0.61449541,2,3,0,285.66395,0.21283671,-0.92354237,0.39710984
-285.51153,0.99941726,0.61449541,2,7,0,285.57058,-0.053462875,-1.0718609,0.34237082
-284.60643,0.95275366,0.61449541,2,7,0,286.38802,-0.011627527,-0.81660527,0.44192934
-285.33688,0.82811447,0.61449541,2,7,0,286.71727,0.088749783,-1.2703586,0.28073094
-285.87273,0.98756914,0.61449541,3,7,0,286.39255,0.029359738,-0.66214187,0.51574549
-284.73549,0.79891503,0.61449541,2,3,0,287.99509,0.14554698,-0.90267023,0.40548547
-284.73549,0.49278702,0.61449541,2,7,0,290.53476,0.14554698,-0.90267023,0.40548547
-284.95546,0.95811729,0.61449541,2,3,0,285.38856,0.10620801,-1.241641,0.28890972
-284.89447,0.99927232,0.61449541,2,3,0,285.13933,0.2282252,-1.0532941,0.34878691
-286.60876,0.83610592,0.61449541,2,3,0,286.74447,0.017351086,-1.3008753,0.27229334
-284.82002,0.85346878,0.61449541,1,3,0,288.56895,0.23577938,-1.1137232,0.32833423
-288.23564,0.66484418,0.61449541,2,3,0,288.76284,0.39917265,-1.0793243,0.33982506
-285.65074,1,0.61449541,2,3,0,288.1622,0.30444334,-1.2953887,0.27379142
