# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:16:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-202604291616-2-567254.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-profile-202604291616-2-95ab74.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.526245
# Diagonal elements of inverse mass matrix:
# 0.00559221, 0.0144852, 0.0490224, 0.0933009, 0.120684, 0.627918, 0.0133709
-848.99399,0.85797843,0.5262449,3,7,0,852.26138,-1.6690925,-1.3265887,-1.6139439,-1.1763083,-0.46744541,-2.1211271,-0.81126243,0.44429682
-849.18746,0.90242221,0.5262449,3,7,0,852.44451,-1.6073942,-1.4077635,-1.6141963,-1.3141027,-1.1881284,-0.58645504,-0.88559281,0.41246959
-849.81929,0.85748586,0.5262449,3,7,0,852.54871,-1.6819867,-1.338775,-1.71159,-1.3953128,-0.38089958,-2.5175773,-0.79416357,0.45195911
-849.35043,0.99204335,0.5262449,3,7,0,851.44514,-1.7064795,-1.457005,-1.5467383,-1.4395142,-1.2588059,-1.1551003,-0.83932809,0.43200069
-850.93544,0.84395203,0.5262449,2,7,0,856.8713,-1.7700647,-1.4903139,-1.5223457,-1.7961903,-0.8156866,-1.5634735,-0.81487002,0.44269686
-850.71811,0.93108513,0.5262449,3,7,0,854.59003,-1.6257671,-1.5712808,-1.3895355,-1.4496058,-0.62244024,-1.7122777,-0.90691525,0.40376783
-849.50892,0.96526317,0.5262449,3,7,0,853.30666,-1.6429336,-1.4465824,-1.8282217,-1.7872761,-0.86508666,-0.85075444,-0.75545963,0.46979464
-850.38681,0.98258207,0.5262449,3,7,0,851.65468,-1.6437226,-1.2927529,-1.4919119,-0.77966547,-0.63264777,-2.2765455,-1.0125556,0.36328936
-849.85015,0.97826993,0.5262449,3,7,0,852.08607,-1.6165178,-1.285572,-1.7680482,-0.82575347,-0.77868849,-2.0688196,-0.89441758,0.40884565
-851.95577,0.77675463,0.5262449,3,7,0,855.00843,-1.5741913,-1.3111236,-1.3245159,-1.4231884,-0.7815604,-0.51843583,-0.78721074,0.45511245
-849.27309,1,0.5262449,2,3,0,852.61066,-1.6076779,-1.3720457,-1.4339983,-1.4750823,-0.92600176,-0.50621597,-0.88606014,0.41227687
-849.46389,0.70533291,0.5262449,3,7,0,854.33677,-1.6311342,-1.350492,-1.8161983,-0.797366,-0.69133244,-1.1766233,-0.92186252,0.39777748
-850.61236,0.86085051,0.5262449,3,7,0,854.57822,-1.6061081,-1.4503518,-1.3142114,-1.5883035,-0.50603499,-1.852063,-0.84017875,0.43163336
-849.16773,0.99454585,0.5262449,3,7,0,852.07943,-1.6517472,-1.4167973,-1.4388042,-1.4100176,-0.50135189,-2.2335842,-0.83517239,0.43379969
-851.31154,0.88220628,0.5262449,3,7,0,852.92818,-1.6399861,-1.4411093,-1.8240083,-1.052803,-1.5156213,-0.60799903,-0.87223268,0.41801721
-849.47387,0.95212853,0.5262449,3,7,0,853.8373,-1.5982248,-1.4721138,-1.7832726,-1.1495334,-1.2474882,-1.3026487,-0.80155054,0.4486328
-849.21581,0.96066693,0.5262449,3,7,0,853.16164,-1.7152984,-1.3049257,-1.6005381,-1.446128,-0.54568978,-1.3725413,-0.94385548,0.38912468
-850.55224,0.90025869,0.5262449,3,7,0,853.12019,-1.6265086,-1.5329975,-1.7858695,-1.2651223,-1.1398075,-1.9901101,-0.6609582,0.51635633
-853.29116,0.84807908,0.5262449,3,7,0,855.94147,-1.647165,-1.5673354,-1.3312199,-1.8557463,-0.63251254,-1.6116595,-0.93563056,0.39233839
-851.09999,0.97884135,0.5262449,3,7,0,855.96182,-1.5733527,-1.4933304,-1.2806092,-1.5965255,-0.69562988,-1.384692,-0.87689988,0.41607078
-851.65794,0.97430277,0.5262449,3,7,0,852.68346,-1.7177047,-1.1938832,-1.9539165,-0.95800386,-0.6449722,-1.2009938,-0.8355296,0.43364476
-848.95514,0.86108785,0.5262449,2,3,0,855.11236,-1.664818,-1.2773944,-1.4994644,-1.0541444,-0.85342672,-1.0913717,-0.99308904,0.37043065
-851.68093,0.72122081,0.5262449,2,3,0,854.75996,-1.7353371,-1.2580711,-1.4393868,-0.72270813,-0.74928451,-1.4315445,-0.91073337,0.40222914
-849.57882,1,0.5262449,2,3,0,852.45756,-1.7385383,-1.2770533,-1.5621143,-1.1535821,-0.92638355,-1.5568541,-0.92418322,0.39685543
-850.1937,0.95294742,0.5262449,3,7,0,852.28141,-1.6030222,-1.5520438,-1.8185423,-1.6872615,-0.76096676,-1.2137313,-0.83872806,0.43225998
-850.92438,0.96411144,0.5262449,3,7,0,853.20833,-1.6652912,-1.1235749,-1.748883,-1.1692477,-0.66528045,-1.1372057,-0.87390001,0.41732082
-852.37609,0.98060379,0.5262449,3,7,0,854.48607,-1.5821648,-1.5289097,-1.3542856,-1.5757332,-0.46718372,-1.0114175,-1.0174327,0.3615219
-856.6692,0.64331404,0.5262449,3,7,0,865.328,-1.7560893,-1.192717,-1.1668894,-1.5242533,-1.0852704,-2.6978876,-0.77151449,0.46231237
-855.25809,1,0.5262449,3,7,0,858.08399,-1.5802475,-1.5572313,-2.3066459,-1.0532176,-0.48555114,-0.75975657,-0.74302743,0.47567167
-852.05583,0.95352712,0.5262449,3,7,0,860.25353,-1.8131801,-1.2655198,-1.7051746,-1.5180436,-1.1855973,-1.9383534,-0.79495943,0.45159955
-849.88242,1,0.5262449,3,7,0,854.13449,-1.6366793,-1.39374,-1.6199725,-1.0363216,-1.0384709,-0.22578495,-0.83778108,0.43266952
-851.31881,0.87834784,0.5262449,3,7,0,855.27791,-1.6296616,-1.2240041,-1.6020614,-1.6966086,-0.9142443,-2.8494158,-0.83384148,0.43437742
-851.00466,0.95424029,0.5262449,3,7,0,853.72178,-1.7223725,-1.4738179,-1.5369912,-0.78129402,-0.69434279,-1.7170223,-0.92293414,0.39735144
-854.12739,0.87895112,0.5262449,3,7,0,858.2608,-1.5161756,-1.4248416,-1.170539,-1.0871307,-0.54617382,-2.9652309,-0.90212905,0.40570497
-850.1182,1,0.5262449,3,7,0,854.88959,-1.7063385,-1.2834534,-1.6533403,-1.200508,-0.68937954,-2.6715876,-0.96094967,0.38252944
-850.35889,0.94803835,0.5262449,3,7,0,853.66906,-1.622752,-1.4777802,-1.7939422,-1.1415668,-1.2183145,-1.8258964,-0.69075449,0.50119778
-852.17993,0.90506861,0.5262449,3,7,0,856.28564,-1.5865022,-1.4541473,-1.2243155,-1.2317699,-0.34760604,-0.61653059,-0.85507935,0.42524944
-853.15303,0.99808716,0.5262449,3,7,0,854.68254,-1.6238665,-1.1569626,-1.9043951,-0.8843808,-0.7962278,-1.417965,-1.1069457,0.33056706
-850.21708,0.95810014,0.5262449,3,7,0,857.76119,-1.6180731,-1.517121,-1.3457532,-1.4978242,-0.98613165,-1.0512774,-0.8352295,0.43377492
-851.07248,0.97102766,0.5262449,3,7,0,853.43331,-1.6741546,-1.5190465,-1.4017233,-1.2691872,-0.41152121,-0.33246626,-0.90896732,0.40294012
-849.39947,0.99870983,0.5262449,3,7,0,852.05571,-1.6122312,-1.2918948,-1.9207776,-1.1394816,-0.9017425,-2.1513989,-0.86003538,0.42314711
-849.60532,0.88313888,0.5262449,3,7,0,852.51856,-1.5817108,-1.4636524,-1.5555186,-1.1577664,-0.48414097,-1.6938547,-0.99982886,0.3679424
-848.7055,0.77107494,0.5262449,2,7,0,856.47298,-1.5936232,-1.3404858,-1.851505,-1.0886067,-0.67461978,-1.6462881,-0.84830238,0.42814114
-848.47048,0.94375661,0.5262449,3,7,0,851.46545,-1.636442,-1.4297948,-1.4758288,-1.419828,-0.72194957,-1.9359591,-0.81199821,0.44397003
-851.28736,0.8627145,0.5262449,3,7,0,852.46322,-1.5280857,-1.4937731,-1.4141582,-1.4826507,-0.96863973,-0.95520343,-0.83632771,0.4332988
-851.07906,0.8628754,0.5262449,3,7,0,855.05088,-1.7720925,-1.3553223,-2.0589929,-1.3950671,-0.65589216,-1.9506304,-0.84230862,0.43071502
-850.28042,0.99801682,0.5262449,3,7,0,852.82211,-1.582489,-1.4906519,-1.4027129,-1.3295563,-1.1120399,-1.0015161,-0.92860154,0.39510587
-851.6002,0.51173843,0.5262449,2,3,0,859.67484,-1.6625207,-1.3185776,-1.6526335,-1.4880257,-1.1449388,-0.89385914,-1.0387774,0.35388709
