# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 06:58:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-202604291458-1-86c6a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-profile-202604291458-1-18c897.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.462869
# Diagonal elements of inverse mass matrix:
# 0.102474, 0.231317, 0.289109, 0.252011, 0.566656, 2.17778, 0.123977
-98.531525,0.89442921,0.46286893,3,7,0,100.43585,-2.0323668,-2.9935573,-3.1058345,-2.476713,-1.5417648,-2.9027357,-0.70283556,0.4951792
-98.532703,0.95923987,0.46286893,3,7,0,101.46354,-2.6097799,-3.0890162,-3.2544144,-2.0262058,-1.6428404,-3.7068027,-0.54427639,0.58026151
-98.804315,0.98003333,0.46286893,3,7,0,99.725117,-2.4424131,-3.4951261,-3.1538369,-1.7333846,-1.6669667,-3.0536139,-0.51999729,0.59452216
-99.179446,0.99035586,0.46286893,3,7,0,100.6181,-2.5474939,-2.4194199,-2.8810591,-2.2346454,-1.7090177,-2.1577755,-0.56071463,0.570801
-99.744408,0.95249076,0.46286893,3,7,0,102.17289,-2.3716491,-2.6505019,-3.1038267,-1.6766147,-1.018953,-3.6868606,-0.95340446,0.38542662
-100.62514,0.94132978,0.46286893,3,15,0,102.92167,-2.9007653,-3.8265935,-3.3135304,-3.0865603,-2.6509334,-0.97468371,-0.0046797989,0.99533113
-102.96259,0.80662946,0.46286893,3,7,0,104.7455,-2.7457683,-4.0793848,-3.1094798,-2.9685341,-2.3640542,0.055484707,0.058106472,1.0598278
-102.12039,0.95535336,0.46286893,3,7,0,107.43871,-2.250209,-2.5696091,-3.926359,-2.0908209,-1.2759007,-5.501521,-0.4683759,0.62601816
-100.60418,0.92989299,0.46286893,3,7,0,104.97456,-1.9893839,-3.1411922,-2.5433615,-2.3024924,-2.0955295,-4.7732048,-0.93521156,0.39250282
-100.20605,0.97081042,0.46286893,3,15,0,103.93232,-2.7636381,-2.9995563,-3.4653637,-2.9778644,-1.1634166,-0.75123483,-0.2322682,0.79273349
-99.612527,1,0.46286893,3,7,0,101.66986,-2.4645074,-3.6689711,-2.6716619,-2.7291302,-2.3133915,-2.6951721,-0.2617997,0.76966517
-100.0859,0.83302462,0.46286893,3,7,0,102.3123,-2.5907939,-3.1134027,-3.6712821,-1.9185832,-2.2722896,-2.8310073,-0.69786091,0.49764868
-100.48108,0.99115687,0.46286893,2,3,0,101.62271,-2.5872335,-2.969092,-3.8385992,-1.5841746,-2.0941533,-2.1609088,-0.55069286,0.5765502
-99.382994,0.85896998,0.46286893,2,7,0,103.72445,-2.6344473,-3.1599451,-3.8855538,-2.2269484,-2.0468396,-2.2833357,-0.52162108,0.59355756
