# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 06:58:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-202604291458-3-86c6a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-profile-202604291458-3-18c897.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.468793
# Diagonal elements of inverse mass matrix:
# 0.11906, 0.210862, 0.272368, 0.242778, 0.521683, 2.76164, 0.116835
-99.940301,0.87876004,0.468793,3,7,0,103.59605,-2.3184433,-2.833433,-2.6755105,-1.8256298,-2.6943279,-3.6931194,-0.51375575,0.5982445
-101.23379,0.77849751,0.468793,2,3,0,104.03544,-2.5043677,-2.474493,-2.9090373,-2.024939,-2.9140992,-4.2833151,-0.71085026,0.49122635
-103.04467,0.8619771,0.468793,3,7,0,107.66173,-2.077464,-3.2248398,-3.8693256,-1.845121,-0.17261696,-1.3877219,-0.99929402,0.36813925
-107.42136,0.7491923,0.468793,3,7,0,110.69057,-2.5861941,-2.7809175,-2.0730813,-2.4747051,-3.531538,-4.997704,-1.1270491,0.3239879
-103.53229,0.96871288,0.468793,3,7,0,109.13368,-2.4557893,-3.7461904,-4.1737144,-2.1484987,-0.71157925,-1.1778554,-0.84081956,0.43135685
-99.086465,0.98624268,0.468793,3,7,0,104.86795,-2.2871042,-3.4959143,-3.2105042,-2.0768237,-1.3185241,-4.0353222,-0.37670495,0.68611848
-100.45987,0.95575084,0.468793,3,7,0,102.99613,-1.9321525,-3.796617,-2.7437261,-1.790102,-1.6213352,-2.7008894,-0.86647232,0.42043209
-102.74671,0.94676737,0.468793,3,7,0,105.03637,-2.5249426,-2.0147725,-2.8380842,-1.838874,-0.77977105,-0.099962174,-0.98353335,0.37398733
-99.951499,0.90913631,0.468793,3,7,0,106.8422,-2.0471413,-3.1303648,-3.2446624,-1.5702242,-2.5776235,-2.0387873,-0.75219912,0.4713289
-100.94338,0.93753619,0.468793,3,7,0,103.73554,-1.8374859,-2.1765226,-2.6576787,-2.2775678,-0.84627643,-1.0624709,-1.2120942,0.29757345
-100.71208,0.86706571,0.468793,3,7,0,104.02846,-2.3861414,-2.3120604,-2.3405221,-1.7152731,-1.7834036,-1.3323057,-1.1304764,0.32287939
-100.11484,0.94922043,0.468793,3,15,0,104.23896,-2.1561341,-3.0276489,-3.3627678,-2.2435338,-2.2102732,-4.9648178,-0.39109241,0.67631765
-102.2648,0.74329888,0.468793,3,15,0,104.65299,-3.0764985,-3.1750532,-2.7862438,-2.3338688,-1.2205215,-2.2784398,-0.76506062,0.46530572
-98.978111,0.99162755,0.468793,3,7,0,104.0686,-2.6948346,-3.3618144,-3.5596765,-1.9598264,-1.7100037,-3.0570533,-0.22368391,0.79956783
-99.741566,0.8870212,0.468793,3,7,0,103.53413,-2.3160015,-2.5367017,-3.5280651,-2.2944515,-1.0574625,-1.8688941,-0.90473331,0.40464979
-99.098811,0.99211305,0.468793,3,15,0,102.33525,-2.6102936,-3.7623119,-3.099726,-2.4338408,-2.2292343,-3.5588598,-0.13606638,0.87278469
-100.41331,0.74300429,0.468793,2,3,0,101.98253,-2.9069798,-3.4666143,-3.4388011,-2.1840986,-2.2708907,-4.4934718,-0.34760158,0.70638025
-98.170584,0.91725248,0.468793,3,15,0,103.24565,-2.443773,-2.8808153,-3.1153127,-2.584492,-1.5840866,-1.1047034,-0.64323673,0.52558848
-98.702963,0.98939926,0.468793,3,7,0,99.43752,-2.6502746,-3.7711899,-3.2559741,-2.2359893,-1.8438793,-3.1298107,-0.25351646,0.77606697
-99.524878,0.8724375,0.468793,3,15,0,101.50777,-2.2042683,-3.4812596,-3.101152,-2.3267544,-1.0063782,-2.0827944,-0.29210399,0.74669088
-99.712869,0.97275203,0.468793,3,7,0,101.52238,-2.3589376,-2.9490498,-2.7590289,-1.9389232,-2.4838977,-4.6719821,-0.50083854,0.60602227
-99.791686,0.97557358,0.468793,3,7,0,102.26875,-2.0474877,-2.7218523,-2.7252378,-1.6695073,-0.59667119,-0.020511544,-1.0367492,0.35460557
-102.61255,0.73919325,0.468793,2,3,0,104.10201,-1.9673967,-2.6384499,-3.0922191,-1.2354361,-0.21362885,-0.16889824,-1.0698434,0.34306224
-102.05586,0.87670712,0.468793,4,15,0,107.17317,-1.7043821,-2.8896681,-2.1515419,-1.4208198,-1.1952537,-1.2657324,-1.5025282,0.22256675
-100.51693,0.89145644,0.468793,3,7,0,104.53559,-2.206559,-2.2843881,-2.7949755,-2.2411591,-0.56143407,-0.6104318,-1.0207691,0.36031771
-99.644861,0.9160906,0.468793,3,15,0,106.20582,-2.5987189,-3.0471149,-3.5475298,-2.1816698,-0.70922934,-2.8509163,-0.4874652,0.61418125
-99.260019,0.9138723,0.468793,3,7,0,102.34497,-2.0624209,-3.0853793,-3.3732774,-2.2621719,-1.3333233,-0.46217628,-0.91752636,0.39950605
-98.431837,0.97414605,0.468793,3,7,0,101.1466,-2.3286911,-2.7650351,-2.4531188,-2.1973992,-1.5101678,-2.9854032,-0.70204378,0.49557143
-101.55374,0.86039969,0.468793,3,7,0,102.9235,-2.4254848,-3.1664326,-2.5124613,-2.7124213,-1.7155725,-5.6331172,-0.80912799,0.44524616
-101.86614,0.98458632,0.468793,3,7,0,103.77549,-2.1600333,-3.2752718,-2.8912266,-1.5166167,-1.2842568,0.34475026,-0.49444145,0.60991148
-101.10146,1,0.468793,3,7,0,103.53854,-2.4781608,-2.6455678,-3.419395,-2.8449705,-2.2913917,-4.959036,-0.34064539,0.7113111
-100.26456,0.93957174,0.468793,3,7,0,103.58214,-2.2928304,-3.4675269,-2.9486329,-2.5643344,-1.0567386,-0.96965966,-0.18924315,0.82758526
-101.62676,0.96449682,0.468793,3,7,0,103.99258,-2.852395,-2.6465689,-3.9561038,-2.0976436,-1.8703483,-1.6241098,-0.63980782,0.52739377
-102.22074,0.84194998,0.468793,3,7,0,108.80773,-2.573707,-2.3016165,-2.6016787,-3.0809723,-1.5609239,-0.70174067,-0.61751074,0.53928519
-98.444693,1,0.468793,3,7,0,103.11094,-2.2194497,-3.0266165,-3.1490392,-2.3399265,-0.7871291,-2.1457328,-0.69487156,0.49913855
-100.94581,0.8405582,0.468793,3,15,0,103.62405,-2.6676816,-3.575558,-3.1571612,-3.2974761,-2.3377093,-4.0133916,-0.32001123,0.72614088
-99.039933,0.99433521,0.468793,4,15,0,102.5341,-2.3941216,-2.886062,-3.2233093,-1.6179927,-1.8068408,-0.5466165,-0.78850723,0.45452279
-99.315392,0.91392018,0.468793,3,7,0,101.66315,-2.0920446,-2.3871035,-2.9622164,-2.4834477,-1.6252769,-0.95978593,-0.74855855,0.47304794
-102.00189,0.92571315,0.468793,3,15,0,103.42578,-2.3958994,-3.6824909,-3.4257503,-1.482002,-2.8230476,-2.1485416,-0.72408287,0.48476896
-102.43926,0.99852041,0.468793,3,7,0,105.56541,-2.8558463,-3.1980653,-3.5907802,-3.7193546,-1.3833291,-2.3113702,-0.33650813,0.71426007
-100.66211,1,0.468793,3,7,0,103.94386,-2.4796309,-2.7690245,-2.7341801,-3.1437047,-2.0463533,-1.7919791,-0.23030103,0.79429446
-101.05362,0.95353612,0.468793,3,7,0,103.82767,-2.5088001,-3.3022861,-2.9073969,-3.2952897,-1.2993697,-0.17737538,-0.30544575,0.73679487
-99.58112,0.97280494,0.468793,3,7,0,102.74918,-2.5616598,-3.1806485,-3.132263,-2.7450092,-0.98734295,-0.89990238,-0.68346036,0.50486695
-101.68578,0.82603208,0.468793,3,7,0,106.13157,-2.4039455,-3.998502,-2.9908409,-2.9011438,-2.634043,-3.4749056,-0.0072454947,0.99278069
-99.572122,1,0.468793,2,3,0,102.32429,-2.4878903,-3.8222888,-3.1514731,-2.6674395,-2.5914213,-3.2271738,-0.21250423,0.80855689
-99.504651,0.89498365,0.468793,3,15,0,103.758,-2.7114779,-2.999072,-2.8713627,-1.7356341,-1.8191363,-2.093933,-0.76796791,0.46395491
-99.689665,0.92063475,0.468793,2,7,0,103.28222,-2.1367652,-3.5252351,-3.2413194,-2.1284783,-1.0265499,-2.7817885,-0.89190676,0.40987348
-99.028934,0.9930061,0.468793,3,15,0,101.15583,-2.897211,-3.1658275,-3.1528844,-2.5157387,-2.3446929,-1.1997455,-0.19428344,0.82342448
-98.294218,0.99800903,0.468793,3,7,0,99.622849,-2.1377546,-3.3210759,-2.9933934,-2.1353675,-1.2169272,-2.9238566,-0.75254511,0.47116586
-99.953793,0.85846248,0.468793,3,7,0,102.1317,-1.8775098,-2.8645955,-2.1112966,-2.1134232,-1.6468391,-0.92615906,-0.98181575,0.37463024
-99.884007,0.95704689,0.468793,3,15,0,102.9631,-2.8245577,-3.4422785,-4.189158,-2.5349718,-1.9081826,-2.8624793,-0.13628776,0.8725915
-103.6456,0.85966875,0.468793,3,7,0,107.11449,-3.1942562,-3.8015602,-4.4378656,-3.0440377,-3.4015024,-2.8585469,0.13964591,1.1498666
-102.34058,0.99665824,0.468793,3,7,0,104.63934,-2.8735523,-3.8132321,-3.7077164,-2.7701198,-3.5628628,-2.1619695,0.38182173,1.4649509
-104.87398,0.96144715,0.468793,3,7,0,106.81936,-3.5739245,-3.5736284,-4.6083453,-3.2252874,-2.502791,-1.6080383,0.29889925,1.3483738
-101.08863,0.9911344,0.468793,3,7,0,107.39119,-3.0527973,-3.8067543,-3.9451359,-2.4251609,-1.7486472,-3.8938624,0.20807812,1.2313094
-100.31279,0.69722365,0.468793,3,7,0,106.15943,-1.9455839,-2.9167658,-2.5118045,-2.7414147,-2.3015695,-1.8116553,-0.88447958,0.41292901
-103.00658,0.71829066,0.468793,3,15,0,105.66134,-3.1309938,-3.448813,-3.9116039,-1.9564933,-1.2387569,-3.4609214,-0.45998499,0.63129312
-102.47178,0.95739179,0.468793,3,7,0,105.54766,-2.2949979,-2.8014266,-2.8172112,-2.6109753,-3.1395836,-1.8102451,-0.11439167,0.89190856
-102.77165,0.80678771,0.468793,3,7,0,109.23982,-2.4655475,-4.0388769,-2.6413895,-1.9134955,-0.89675087,-0.66685976,-1.0178148,0.36138376
-105.36415,0.89078162,0.468793,3,7,0,109.04686,-2.3611922,-2.3737186,-3.4419455,-2.4731992,-3.5900117,-6.352847,-0.43923876,0.64452687
-101.45552,0.99941798,0.468793,3,7,0,107.87124,-2.3162078,-4.2959949,-2.701738,-2.2249903,-2.0693919,-0.64629478,-0.62151362,0.53713081
-100.52898,0.95963182,0.468793,3,7,0,104.44729,-2.3074176,-3.9581462,-2.6917825,-2.1066627,-1.4052999,-0.13630007,-0.49228012,0.61123112
-99.752471,0.996076,0.468793,3,15,0,103.75799,-2.8950437,-3.324673,-3.3440366,-3.0502019,-2.4897686,-3.2311023,-0.02513098,0.97518217
-100.05471,0.96942705,0.468793,3,15,0,103.43882,-1.8637577,-2.9694534,-2.7680099,-1.4460502,-1.0535143,-3.4960891,-1.0471652,0.35093116
-100.89234,0.85743785,0.468793,3,7,0,103.18038,-2.1032534,-3.3598308,-2.3078894,-1.6845321,-1.5209372,-0.63214706,-1.2296271,0.2924016
-99.197561,0.97596705,0.468793,3,7,0,102.58805,-1.9774325,-2.9927437,-3.050037,-1.6687408,-2.0721028,-3.0513757,-0.79882758,0.44985607
-99.01605,0.96901784,0.468793,3,7,0,100.634,-1.9002524,-2.8673478,-3.0298702,-1.7280572,-1.8158243,-2.0166634,-0.74183529,0.47623907
-101.66606,0.83513836,0.468793,2,3,0,102.33573,-1.771531,-2.5862505,-3.0745516,-1.5172811,-1.9365394,-2.0332903,-0.68350447,0.50484468
-99.807761,1,0.468793,3,15,0,103.73032,-1.9637766,-2.6921893,-2.99408,-1.5708894,-1.2495701,-1.818905,-0.64029885,0.52713487
-100.04852,0.96395846,0.468793,3,7,0,103.14747,-2.0740389,-2.7750271,-2.5542607,-2.0512878,-2.9476194,-2.9084019,-0.86500721,0.42104852
-99.480792,0.94377974,0.468793,3,7,0,101.67988,-2.2429995,-2.8665975,-2.5734662,-1.7892219,-2.436232,-3.8720078,-0.72822156,0.4827668
-98.061878,0.90408186,0.468793,3,7,0,101.87756,-2.3696717,-2.8328057,-3.1894162,-1.9277382,-1.3900915,-1.2434041,-0.80421728,0.44743801
-98.694578,0.785553,0.468793,3,7,0,102.29102,-2.4423733,-3.003212,-2.646357,-2.1212179,-2.0674212,-1.8654131,-0.84976572,0.42751508
-101.66473,0.93786115,0.468793,2,7,0,103.20927,-2.2108672,-3.6289167,-2.3674774,-1.9474618,-3.0908218,-1.0913772,-0.50776117,0.60184149
