# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 06:58:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/binary/binary-202604291458-3-807e7b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/binary/binary-profile-202604291458-3-2e3568.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.454552
# Diagonal elements of inverse mass matrix:
# 0.275258, 0.370784
-31.3911,0.93300787,0.45455218,3,11,0,33.771202,0.12915069,-1.1173561,0.3271436
-32.045703,0.93790529,0.45455218,2,7,0,33.227795,0.56617461,-1.2405926,0.28921278
-32.505624,0.98179608,0.45455218,2,3,0,32.571441,0.70337359,-1.3067827,0.27068955
-31.966741,0.99306644,0.45455218,4,15,0,32.620392,0.50593575,-1.3684916,0.25449053
-31.702056,0.86223565,0.45455218,3,11,0,33.041685,-1.0019619,0.24166784,1.2733712
-32.463029,0.74668669,0.45455218,2,7,0,35.916302,0.1617341,-0.31728044,0.72812653
-32.999287,1,0.45455218,2,7,0,33.223179,0.058202869,-1.5199029,0.21873314
-33.499838,0.91546681,0.45455218,4,15,0,35.971061,-0.68387695,-0.87300794,0.41769326
-30.911825,1,0.45455218,1,3,0,33.17079,-0.3566693,-0.50279359,0.60483863
-31.097336,0.97984872,0.45455218,2,7,0,31.111539,-0.24871949,-0.21930409,0.80307747
-31.4669,0.9086864,0.45455218,2,7,0,32.018786,-0.18416613,-0.94625554,0.38819187
-31.105277,0.99207356,0.45455218,2,7,0,32.107296,-0.34314043,-0.64678703,0.52372579
-31.048637,0.9658337,0.45455218,2,7,0,31.474834,-0.42304707,-0.093831571,0.91043609
-31.048637,0.39253652,0.45455218,1,3,0,35.025326,-0.42304707,-0.093831571,0.91043609
-31.155173,0.91258151,0.45455218,2,7,0,31.712682,-0.27909177,-0.73759276,0.47826383
-32.202579,0.92788295,0.45455218,2,7,0,33.470464,-0.54212831,0.36074707,1.4344006
-31.850215,0.99036876,0.45455218,2,7,0,33.452744,-0.10232883,-1.1309996,0.3227105
-31.538673,0.98327099,0.45455218,3,7,0,32.430798,-0.12542387,-1.0196175,0.36073288
-30.844326,0.98139733,0.45455218,2,5,0,31.755475,-0.21571492,-0.55354732,0.57490681
-31.609209,0.84759058,0.45455218,2,7,0,33.410321,-0.33891138,0.045821546,1.0468876
-31.506229,0.9833307,0.45455218,2,5,0,32.474562,-0.9087759,0.21727218,1.2426823
-30.88394,0.9896144,0.45455218,3,11,0,32.027426,-0.14724767,-0.49306895,0.61074916
-30.934814,0.99634983,0.45455218,2,7,0,31.028446,-0.061781664,-0.57444614,0.56301662
-31.121235,0.72748561,0.45455218,3,11,0,32.973323,-0.68322454,-0.092943898,0.91124462
-32.871116,0.91589374,0.45455218,3,11,0,35.37091,0.81474061,-1.5889391,0.20414207
-32.936143,0.99267869,0.45455218,1,1,0,32.984607,0.83475974,-1.5914685,0.20362636
-35.831137,0.71698133,0.45455218,2,3,0,36.472613,1.3231052,-1.5861703,0.20470808
-33.77178,0.99858541,0.45455218,3,7,0,37.425918,0.96383135,-1.3730903,0.2533229
-34.089104,0.88151122,0.45455218,1,1,0,34.433221,0.97619716,-1.2905594,0.27511684
