# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 08:18:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-202604291618-2-541368.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-profile-202604291618-2-63bfea.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.563351
# Diagonal elements of inverse mass matrix:
# 0.313469, 0.635376, 0.001153
-1558.8245,0.99055115,0.56335139,2,3,0,1561.5147,62.746907,-8.3003301,8.5792595,-8.3003301
-1559.3944,0.99096552,0.56335139,3,7,0,1559.8162,62.515422,-7.6791036,8.5816252,-7.6791036
-1559.0702,1,0.56335139,3,7,0,1559.7727,64.002684,-9.8068059,8.1388792,-9.8068059
-1558.4448,0.98374404,0.56335139,2,3,0,1559.4328,63.665751,-9.6117498,8.2067638,-9.6117498
-1559.0406,0.82300602,0.56335139,3,15,0,1560.2577,62.643061,-8.6382484,8.1572907,-8.6382484
-1558.3108,0.99609066,0.56335139,3,7,0,1559.4394,63.658224,-9.1981207,8.4667188,-9.1981207
-1560.0891,0.85213607,0.56335139,2,7,0,1560.9981,63.207917,-8.6268472,7.6962368,-8.6268472
-1557.9654,0.97091212,0.56335139,2,3,0,1560.4943,63.085832,-8.8275692,8.2375411,-8.8275692
-1558.1179,0.98291837,0.56335139,2,5,0,1558.5034,62.872602,-8.1487854,8.34882,-8.1487854
-1559.6517,0.8588602,0.56335139,3,7,0,1560.8759,63.745865,-10.201714,8.3608582,-10.201714
-1565.2678,0.57648885,0.56335139,2,3,0,1565.5195,64.912665,-9.1737289,8.7355068,-9.1737289
-1560.2136,0.98133542,0.56335139,2,7,0,1564.7939,64.271879,-9.6606618,8.601517,-9.6606618
-1559.816,0.9431909,0.56335139,3,7,0,1561.4599,62.784776,-7.2049924,8.1092635,-7.2049924
-1561.7964,0.6382253,0.56335139,1,1,0,1561.8054,62.956041,-6.7863717,8.0834543,-6.7863717
-1558.069,1,0.56335139,2,3,0,1561.6239,62.940632,-8.6394879,8.2406077,-8.6394879
-1563.8372,0.72604406,0.56335139,2,3,0,1564.4629,62.211779,-6.4393721,7.8076942,-6.4393721
-1561.2901,1,0.56335139,3,7,0,1564.8592,61.940866,-6.9072191,8.3945365,-6.9072191
-1564.3569,0.61992266,0.56335139,2,3,0,1566.1732,62.608501,-5.9548879,8.4629544,-5.9548879
-1560.4889,0.96327305,0.56335139,3,7,0,1565.2046,62.466561,-8.9655659,8.3241858,-8.9655659
-1559.6756,0.97286723,0.56335139,2,7,0,1562.2013,64.199567,-9.1648027,8.3655731,-9.1648027
-1560.5585,0.93730293,0.56335139,3,7,0,1561.6347,62.392318,-8.3528177,7.9260071,-8.3528177
-1559.4272,1,0.56335139,3,7,0,1560.9078,63.267293,-8.1809966,8.7458332,-8.1809966
-1558.3857,0.99412954,0.56335139,2,3,0,1559.4928,63.169775,-8.360305,8.5637915,-8.360305
-1558.1088,0.939628,0.56335139,3,7,0,1560.0709,63.287323,-9.1439258,8.3906383,-9.1439258
-1557.9998,0.98933274,0.56335139,2,7,0,1559.0696,63.013902,-8.605343,8.3830184,-8.605343
-1558.076,0.95407291,0.56335139,2,7,0,1558.6133,63.070504,-8.8254778,8.1493375,-8.8254778
-1558.838,0.95875504,0.56335139,3,7,0,1559.8027,62.53883,-8.0998562,8.3967621,-8.0998562
-1561.1724,0.80248698,0.56335139,3,7,0,1561.2397,63.160011,-7.0407833,8.4985367,-7.0407833
-1558.4825,0.9910227,0.56335139,2,7,0,1561.2497,63.065658,-7.898935,8.4426481,-7.898935
-1557.8622,0.97108764,0.56335139,3,7,0,1558.8396,63.174858,-8.3579664,8.2402602,-8.3579664
-1558.4307,0.95164436,0.56335139,2,7,0,1559.0704,63.537048,-9.5265614,8.3994698,-9.5265614
-1558.0474,1,0.56335139,2,3,0,1558.4133,63.589446,-9.0791811,8.3843214,-9.0791811
-1558.2501,0.88898096,0.56335139,3,15,0,1559.1843,63.006749,-8.5395112,8.5076371,-8.5395112
-1560.3197,0.76270789,0.56335139,2,7,0,1560.9123,63.968775,-8.3092444,8.4138999,-8.3092444
-1559.9674,1,0.56335139,1,1,0,1560.629,63.931935,-8.3745371,8.4226962,-8.3745371
-1558.1758,1,0.56335139,2,3,0,1559.7023,63.110579,-8.8847365,8.4505911,-8.8847365
-1558.1999,0.90371845,0.56335139,1,3,0,1559.0251,63.439283,-8.3730938,8.3663464,-8.3730938
-1559.1094,0.95177995,0.56335139,2,7,0,1559.7578,63.419558,-9.5568061,7.9716076,-9.5568061
-1558.9768,0.89471056,0.56335139,2,3,0,1560.4948,63.613962,-9.8172543,8.1138797,-9.8172543
-1558.4785,0.99677558,0.56335139,3,7,0,1559.6321,63.286463,-8.1711674,8.0520883,-8.1711674
-1558.2979,0.99744709,0.56335139,3,7,0,1558.6766,63.245827,-9.2701129,8.3608654,-9.2701129
-1558.2765,0.94106217,0.56335139,2,3,0,1559.0081,63.607446,-8.6493953,8.1389343,-8.6493953
-1558.8224,0.9448153,0.56335139,3,7,0,1560.8328,62.8926,-7.9591691,7.9742085,-7.9591691
-1560.8496,0.94077393,0.56335139,3,7,0,1561.9469,62.312585,-7.1104691,8.7051401,-7.1104691
-1562.4691,0.89732345,0.56335139,2,3,0,1563.3883,62.183588,-7.4290039,8.9916383,-7.4290039
-1563.5543,0.85408353,0.56335139,2,3,0,1564.4642,62.480814,-6.7290294,9.0450194,-6.7290294
-1560.45,0.96938249,0.56335139,3,7,0,1565.6785,62.219594,-8.2328935,8.1459789,-8.2328935
-1563.6586,0.80227159,0.56335139,2,3,0,1564.1545,62.034434,-8.8933827,8.1382113,-8.8933827
-1560.6947,1,0.56335139,2,3,0,1563.1681,62.334573,-8.7193753,8.2039649,-8.7193753
-1559.6601,0.63133069,0.56335139,2,3,0,1566.296,63.028524,-7.5027283,8.601246,-7.5027283
-1559.1234,0.9685353,0.56335139,2,7,0,1562.8691,63.749456,-9.9218644,8.448142,-9.9218644
-1558.4435,0.98114296,0.56335139,3,7,0,1560.7176,62.664689,-8.1478955,8.265571,-8.1478955
-1558.483,0.98760572,0.56335139,3,7,0,1559.2074,63.293745,-8.283791,8.5457492,-8.283791
-1559.1636,0.88606564,0.56335139,3,7,0,1561.684,62.484928,-8.0194222,8.4991445,-8.0194222
-1560.3821,0.84240761,0.56335139,1,3,0,1561.8818,62.570005,-7.0009415,8.569037,-7.0009415
-1560.9405,0.94247161,0.56335139,2,3,0,1561.7797,62.464315,-6.9113936,8.6657652,-6.9113936
-1560.0717,1,0.56335139,2,3,0,1561.3543,62.190792,-7.2739775,8.368437,-7.2739775
-1561.0192,0.93868611,0.56335139,3,7,0,1561.3446,63.98554,-10.682175,8.4526861,-10.682175
-1559.3232,0.77243549,0.56335139,3,7,0,1565.2526,63.808838,-8.3642133,8.2533824,-8.3642133
-1559.5818,0.99514655,0.56335139,2,7,0,1560.0398,63.245561,-9.8073277,8.1882969,-9.8073277
-1559.003,0.99567539,0.56335139,2,7,0,1560.2416,63.485696,-7.9994057,8.2130103,-7.9994057
-1562.2947,0.70424616,0.56335139,2,3,0,1563.57,62.495647,-8.8529057,8.9529192,-8.8529057
-1559.4238,1,0.56335139,2,3,0,1562.2463,62.859354,-7.9340542,8.7290322,-7.9340542
-1558.4077,0.96500258,0.56335139,3,7,0,1560.9571,63.699425,-9.2262776,8.0545542,-9.2262776
-1558.062,0.98453346,0.56335139,3,7,0,1559.2504,63.605793,-9.2912369,8.2538883,-9.2912369
-1559.6476,0.8004915,0.56335139,2,3,0,1560.0314,63.364725,-9.9648001,8.3164865,-9.9648001
-1559.2594,1,0.56335139,3,7,0,1560.2969,63.311848,-7.6903006,8.3386526,-7.6903006
-1558.395,0.98956706,0.56335139,3,7,0,1560.37,63.777235,-8.8675247,8.2318325,-8.8675247
