# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = binary_model
# start_datetime = 2026-04-29 06:59:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_binary.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145925/binary/binary-202604291459-4-808373.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145925/binary/binary-profile-202604291459-4-2e3a60.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=binary_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,odds_ratio
# Adaptation terminated
# Step size = 0.359775
# Diagonal elements of inverse mass matrix:
# 0.310125, 0.44806
-31.773174,0.80123378,0.35977514,2,3,0,33.800536,0.010330046,-1.1940574,0.30298942
-31.796499,0.99768689,0.35977514,3,7,0,32.108341,0.44483132,-1.0151392,0.36235199
-31.728023,0.80133879,0.35977514,3,11,0,34.121812,-0.92306343,-0.044059612,0.95689691
-31.88081,0.89259208,0.35977514,2,7,0,33.276594,-1.0268488,0.46173449,1.5868239
-30.864905,0.99279241,0.35977514,2,7,0,32.519568,-0.39566292,-0.3767395,0.68609478
-31.09675,0.95732076,0.35977514,2,7,0,31.761083,-0.43851058,-0.056671624,0.9449043
-31.175515,0.91340508,0.35977514,2,3,0,31.998837,-0.72635008,-0.014202711,0.98589767
-30.918568,0.968794,0.35977514,4,15,0,32.539907,-0.48216732,-0.18977109,0.82714846
-31.147689,0.99601908,0.35977514,3,15,0,31.270708,-0.6671609,0.052202992,1.0535896
-32.283043,0.89285573,0.35977514,2,7,0,32.99432,-1.2165038,0.39146953,1.4791529
-30.937039,0.9991528,0.35977514,3,15,0,32.486318,-0.072657051,-0.55019449,0.57683761
-30.876017,0.98723646,0.35977514,3,11,0,31.193381,-0.41760465,-0.35819518,0.69893664
-31.404834,0.98323297,0.35977514,2,7,0,32.217858,-0.77500829,0.2356182,1.265691
-31.118377,0.98863118,0.35977514,3,11,0,32.388488,0.12178878,-0.90987223,0.40257566
-31.701525,0.93334819,0.35977514,2,3,0,31.782603,0.29139979,-0.72333574,0.48513128
-30.9837,0.96796907,0.35977514,2,7,0,32.274005,-0.027229652,-0.80557438,0.4468312
-31.267286,0.96994396,0.35977514,2,3,0,31.288743,0.1068534,-0.60764821,0.54463022
-31.314465,0.8662614,0.35977514,1,3,0,32.345353,-0.11159264,-0.95051774,0.38654084
-31.341034,0.98207781,0.35977514,2,3,0,31.733332,0.042283151,-1.0592222,0.34672537
-31.115208,0.98771609,0.35977514,3,11,0,31.632808,-0.529131,-0.4127317,0.66183983
-32.604305,0.87092257,0.35977514,2,7,0,32.605107,-0.16725717,0.092468642,1.0968787
-33.880407,0.98344914,0.35977514,3,7,0,34.323626,-1.3625209,0.046468267,1.0475648
-35.359383,0.81840612,0.35977514,1,1,0,35.427091,-1.5126083,-0.018632515,0.98154
-32.600445,0.96240147,0.35977514,3,9,0,37.845777,0.60165883,-0.97530667,0.3770767
-32.939774,0.87609052,0.35977514,3,11,0,34.521454,-0.93354389,-0.424662,0.6539908
-31.368588,0.96587668,0.35977514,1,3,0,33.234817,-0.81539276,-0.031860396,0.9686418
-30.902683,0.99721419,0.35977514,3,11,0,31.660277,-0.087045958,-0.5760009,0.56214194
-31.269038,0.99282819,0.35977514,2,7,0,31.738029,0.18637494,-1.0408743,0.35314579
-30.940645,0.90415141,0.35977514,3,15,0,32.477723,-0.24530671,-0.31417208,0.73039333
-31.09559,0.96720086,0.35977514,1,1,0,31.098293,-0.21528429,-0.25510346,0.77483633
-31.141496,0.97558263,0.35977514,4,15,0,32.173106,-0.22315299,-0.22555865,0.79807025
-31.083112,0.8941432,0.35977514,2,3,0,32.170804,-0.35932112,-0.61720739,0.5394488
-31.115675,0.91182554,0.35977514,1,3,0,31.927612,-0.1066949,-0.37206219,0.68931138
-31.517863,0.99204859,0.35977514,3,15,0,32.016216,0.16773107,-1.1878063,0.30488936
-30.845989,0.99366208,0.35977514,3,11,0,32.796473,-0.28792288,-0.49851751,0.6074305
-30.845989,0.95703293,0.35977514,1,3,0,31.083702,-0.28792288,-0.49851751,0.6074305
-31.691844,0.94333783,0.35977514,3,11,0,32.981712,0.11368611,-1.2312866,0.29191677
-32.790555,0.95671042,0.35977514,2,7,0,33.838517,0.26449291,-1.6116016,0.19956774
-31.876187,0.96820403,0.35977514,2,3,0,33.397018,0.085942099,-1.2737081,0.2797922
-31.247307,0.99892334,0.35977514,3,11,0,32.012924,-0.16624563,-0.24387656,0.78358436
-30.912181,1,0.35977514,2,7,0,31.186543,-0.34238497,-0.52076152,0.59406798
-30.949518,0.99760907,0.35977514,2,7,0,31.017424,-0.30342558,-0.59590713,0.55106246
-31.853634,0.97013557,0.35977514,3,15,0,32.496377,0.48262401,-1.0917881,0.33561584
-31.213434,0.9978234,0.35977514,2,7,0,32.736823,0.19870196,-0.91335786,0.40117487
-31.314169,0.95310067,0.35977514,3,11,0,32.206626,-0.71544891,-0.21905609,0.80327666
-31.483194,0.8539954,0.35977514,1,3,0,32.760326,-0.36426255,0.032240088,1.0327654
-32.484541,0.91211173,0.35977514,2,7,0,32.892207,-0.12638028,0.027017095,1.0273854
-30.9241,0.94595673,0.35977514,1,3,0,33.124889,-0.50657618,-0.22754046,0.7964902
-31.393678,0.7264716,0.35977514,2,3,0,33.216573,-0.45257361,-0.64293758,0.52574573
-32.0446,0.99927267,0.35977514,3,7,0,32.56963,-1.1062085,0.51402565,1.6720086
-31.472872,0.98108191,0.35977514,2,3,0,32.189247,-0.8480615,0.26468206,1.3030166
